Topic,Count,Macro,Name,TopWords,Representation
14,324,Basic Mechanisms,dyspepsia · functional · symptoms,dyspepsia; fd; functional; symptoms; rome; dyspeptic; epigastric; pain; patients; symptom,"['dyspepsia', 'fd', 'functional', 'symptoms', 'rome', 'dyspeptic', 'epigastric', 'pain', 'patients', 'symptom']"
15,450,Oncology & Pathology,cancer · gastric · risk,cancer; gastric; gc; risk; infection; survival; patients; noncardia; pylori; ci,"['cancer', 'gastric', 'gc', 'risk', 'infection', 'survival', 'patients', 'noncardia', 'pylori', 'ci']"
16,316,Basic Mechanisms,oral · dental · plaque,oral; dental; plaque; cavity; periodontal; periodontitis; saliva; halitosis; pylori; teeth,"['oral', 'dental', 'plaque', 'cavity', 'periodontal', 'periodontitis', 'saliva', 'halitosis', 'pylori', 'teeth']"
17,417,Oncology & Pathology,expression · cells · cancer,expression; cells; cancer; gastric; gc; signaling; carcinogenesis; cell; pathway; proliferation,"['expression', 'cells', 'cancer', 'gastric', 'gc', 'signaling', 'carcinogenesis', 'cell', 'pathway', 'proliferation']"
18,359,Basic Mechanisms,lps · lewis · baba,lps; lewis; baba; fl; lipid; lipopolysaccharide; binding; synthesis; glycosylation; biosynthesis,"['lps', 'lewis', 'baba', 'fl', 'lipid', 'lipopolysaccharide', 'binding', 'synthesis', 'glycosylation', 'biosynthesis']"
19,392,Diagnostics & AI,test · tests · detection,test; tests; detection; pcr; diagnostic; sensitivity; specificity; noninvasive; culture; diagnosis,"['test', 'tests', 'detection', 'pcr', 'diagnostic', 'sensitivity', 'specificity', 'noninvasive', 'culture', 'diagnosis']"
20,358,Diagnostics & AI,endoscopic · gastritis · endoscopy,endoscopic; gastritis; endoscopy; lci; nodular; imaging; findings; color; wli; nodularity,"['endoscopic', 'gastritis', 'endoscopy', 'lci', 'nodular', 'imaging', 'findings', 'color', 'wli', 'nodularity']"
21,286,Basic Mechanisms,liver · gallbladder · cirrhosis,liver; gallbladder; cirrhosis; biliary; bile; portal; hepatitis; cholecystitis; gallstones; hepatic,"['liver', 'gallbladder', 'cirrhosis', 'biliary', 'bile', 'portal', 'hepatitis', 'cholecystitis', 'gallstones', 'hepatic']"
22,574,Basic Mechanisms,cells · epithelial · apoptosis,cells; epithelial; apoptosis; expression; cell; ags; activation; pyloriinduced; gastric; by,"['cells', 'epithelial', 'apoptosis', 'expression', 'cell', 'ags', 'activation', 'pyloriinduced', 'gastric', 'by']"
23,330,Basic Mechanisms,polymorphisms · polymorphism · genotype · allele,polymorphisms; polymorphism; genotype; allele; il1b; gene; il; risk; association; genetic,"['polymorphisms', 'polymorphism', 'genotype', 'allele', 'il1b', 'gene', 'il', 'risk', 'association', 'genetic']"
24,257,Diagnostics & AI,dyspepsia · symptoms · functional,dyspepsia; symptoms; functional; fd; patients; dyspeptic; eradication; symptom; test; with,"['dyspepsia', 'symptoms', 'functional', 'fd', 'patients', 'dyspeptic', 'eradication', 'symptom', 'test', 'with']"
25,340,Basic Mechanisms,genome · genes · strains,genome; genes; strains; genomes; sequences; genetic; genomic; diversity; sequence; isolates,"['genome', 'genes', 'strains', 'genomes', 'sequences', 'genetic', 'genomic', 'diversity', 'sequence', 'isolates']"
26,253,Diagnostics & AI,breath · ubt · test,breath; ubt; test; urea; 13curea; 13cubt; tests; cubt; positive; dob,"['breath', 'ubt', 'test', 'urea', '13curea', '13cubt', 'tests', 'cubt', 'positive', 'dob']"
27,277,Oncology & Pathology,cancer · eradication · gastric,cancer; eradication; gastric; after; incidence; risk; prevention; gc; years; early,"['cancer', 'eradication', 'gastric', 'after', 'incidence', 'risk', 'prevention', 'gc', 'years', 'early']"
28,292,Epidemiology & Public Health,gastritis · abdominal · pain,gastritis; abdominal; pain; symptoms; gastrointestinal; chronic; dgr; disease; children; disorders,"['gastritis', 'abdominal', 'pain', 'symptoms', 'gastrointestinal', 'chronic', 'dgr', 'disease', 'children', 'disorders']"
29,235,Basic Mechanisms,polyps · gland · hyperplastic,polyps; gland; hyperplastic; fundic; polyp; polyposis; fgps; endoscopic; gastric; case,"['polyps', 'gland', 'hyperplastic', 'fundic', 'polyp', 'polyposis', 'fgps', 'endoscopic', 'gastric', 'case']"
30,254,Basic Mechanisms,research · pylori · diseases,research; pylori; is; diseases; helicobacter; disease; infection; the; of; and,"['research', 'pylori', 'is', 'diseases', 'helicobacter', 'disease', 'infection', 'the', 'of', 'and']"
31,251,Basic Mechanisms,pud · peptic · ulcer,pud; peptic; ulcer; ulcers; disease; nonsteroidal; antiinflammatory; of; patients; the,"['pud', 'peptic', 'ulcer', 'ulcers', 'disease', 'nonsteroidal', 'antiinflammatory', 'of', 'patients', 'the']"
32,272,Oncology & Pathology,polymorphisms · polymorphism · genotype · risk,polymorphisms; polymorphism; genotype; risk; cancer; gc; ci; allele; gastric; or,"['polymorphisms', 'polymorphism', 'genotype', 'risk', 'cancer', 'gc', 'ci', 'allele', 'gastric', 'or']"
33,275,Diagnostics & AI,pepsinogen · serum · levels,pg; pepsinogen; serum; levels; ratio; pgi; iii; ii; pgii; gastrin,"['pg', 'pepsinogen', 'serum', 'levels', 'ratio', 'pgi', 'iii', 'ii', 'pgii', 'gastrin']"
34,232,Basic Mechanisms,species · suis · spp,species; suis; spp; dogs; helicobacter; cats; humans; animals; heilmannii; pigs,"['species', 'suis', 'spp', 'dogs', 'helicobacter', 'cats', 'humans', 'animals', 'heilmannii', 'pigs']"
35,211,Basic Mechanisms,reflux · gerd · esophagitis,reflux; gerd; esophagitis; gastroesophageal; symptoms; erosive; nerd; disease; re; esophageal,"['reflux', 'gerd', 'esophagitis', 'gastroesophageal', 'symptoms', 'erosive', 'nerd', 'disease', 're', 'esophageal']"
36,244,Basic Mechanisms,aspirin · nsaids · lowdose,aspirin; nsaids; lowdose; gi; bleeding; gastrointestinal; nsaid; use; drugs; nonsteroidal,"['aspirin', 'nsaids', 'lowdose', 'gi', 'bleeding', 'gastrointestinal', 'nsaid', 'use', 'drugs', 'nonsteroidal']"
37,212,Extra-gastric Diseases,diabetes · diabetic · insulin,diabetes; diabetic; insulin; mellitus; dm; t2dm; type; glucose; hba1c; infection,"['diabetes', 'diabetic', 'insulin', 'mellitus', 'dm', 't2dm', 'type', 'glucose', 'hba1c', 'infection']"
38,301,Clinical Therapy,quadruple · bismuth · therapy,quadruple; bismuth; therapy; mg; bqt; day; eradication; adverse; bismuthcontaining; firstline,"['quadruple', 'bismuth', 'therapy', 'mg', 'bqt', 'day', 'eradication', 'adverse', 'bismuthcontaining', 'firstline']"
39,192,Basic Mechanisms,reflux · esophagitis · gerd,reflux; esophagitis; gerd; gastroesophageal; re; erosive; disease; patients; symptoms; esophageal,"['reflux', 'esophagitis', 'gerd', 'gastroesophageal', 're', 'erosive', 'disease', 'patients', 'symptoms', 'esophageal']"
40,205,Basic Mechanisms,nickel · urease · metal,nickel; urease; metal; binding; nikr; hpnikr; ions; ni; hypa; niii,"['nickel', 'urease', 'metal', 'binding', 'nikr', 'hpnikr', 'ions', 'ni', 'hypa', 'niii']"
41,203,Diagnostics & AI,stool · antigen · hpsa,stool; antigen; hpsa; test; tests; sensitivity; specificity; positive; children; accuracy,"['stool', 'antigen', 'hpsa', 'test', 'tests', 'sensitivity', 'specificity', 'positive', 'children', 'accuracy']"
42,214,Epidemiology & Public Health,coronary · atherosclerosis · carotid,coronary; atherosclerosis; carotid; cardiovascular; artery; heart; stroke; chd; infarction; risk,"['coronary', 'atherosclerosis', 'carotid', 'cardiovascular', 'artery', 'heart', 'stroke', 'chd', 'infarction', 'risk']"
43,225,Clinical Therapy,probiotics · probiotic · eradication,probiotics; probiotic; eradication; lactobacillus; effects; supplementation; therapy; side; placebo; reuteri,"['probiotics', 'probiotic', 'eradication', 'lactobacillus', 'effects', 'supplementation', 'therapy', 'side', 'placebo', 'reuteri']"
44,188,Basic Mechanisms,urease · inhibitors · inhibition,urease; inhibitors; inhibition; ic50; compounds; docking; activity; inhibitory; derivatives; ureases,"['urease', 'inhibitors', 'inhibition', 'ic50', 'compounds', 'docking', 'activity', 'inhibitory', 'derivatives', 'ureases']"
45,169,Epidemiology & Public Health,iron · deficiency · anemia,iron; deficiency; anemia; ida; ferritin; children; serum; hemoglobin; id; hepcidin,"['iron', 'deficiency', 'anemia', 'ida', 'ferritin', 'children', 'serum', 'hemoglobin', 'id', 'hepcidin']"
46,180,Basic Mechanisms,mir · mirnas · mirna · expression · micrornas,mir; mirnas; mirna; expression; micrornas; mir146a; gc; mir5p; mir3p; microrna,"['mir', 'mirnas', 'mirna', 'expression', 'micrornas', 'mir146a', 'gc', 'mir5p', 'mir3p', 'microrna']"
47,189,Basic Mechanisms,dna · recombination · transformation,dna; recombination; transformation; mohammed; genome; alqahtani; gene; genes; transfer; sequence,"['dna', 'recombination', 'transformation', 'mohammed', 'genome', 'alqahtani', 'gene', 'genes', 'transfer', 'sequence']"
48,230,Basic Mechanisms,microbiota · gut · diversity,microbiota; gut; diversity; abundance; microbiome; microbial; composition; 16s; sequencing; bacteria,"['microbiota', 'gut', 'diversity', 'abundance', 'microbiome', 'microbial', 'composition', '16s', 'sequencing', 'bacteria']"
49,165,Oncology & Pathology,gim · metaplasia · intestinal,gim; metaplasia; intestinal; im; olga; risk; gastric; surveillance; olgim; cancer,"['gim', 'metaplasia', 'intestinal', 'im', 'olga', 'risk', 'gastric', 'surveillance', 'olgim', 'cancer']"
50,199,Clinical Therapy,esomeprazole · rabeprazole · intragastric,ph; mg; esomeprazole; rabeprazole; intragastric; omeprazole; lansoprazole; pantoprazole; vonoprazan; acid,"['ph', 'mg', 'esomeprazole', 'rabeprazole', 'intragastric', 'omeprazole', 'lansoprazole', 'pantoprazole', 'vonoprazan', 'acid']"
51,311,Basic Mechanisms,cells · cd4 · th17,il; cells; cd4; th17; mice; expression; il17a; treg; cytokines; response,"['il', 'cells', 'cd4', 'th17', 'mice', 'expression', 'il17a', 'treg', 'cytokines', 'response']"
52,202,Basic Mechanisms,caga · phosphorylation · cells,caga; phosphorylation; cells; tyrosine; cell; epithelial; protein; kinase; host; that,"['caga', 'phosphorylation', 'cells', 'tyrosine', 'cell', 'epithelial', 'protein', 'kinase', 'host', 'that']"
53,138,Basic Mechanisms,barretts · esophagus · esophageal,barretts; esophagus; be; esophageal; reflux; oesophagus; adenocarcinoma; gerd; eac; gastroesophageal,"['barretts', 'esophagus', 'be', 'esophageal', 'reflux', 'oesophagus', 'adenocarcinoma', 'gerd', 'eac', 'gastroesophageal']"
54,260,Basic Mechanisms,enzyme · catalytic · structure,enzyme; catalytic; structure; crystal; binding; substrate; inhibitors; enzymes; site; structural,"['enzyme', 'catalytic', 'structure', 'crystal', 'binding', 'substrate', 'inhibitors', 'enzymes', 'site', 'structural']"
55,126,Basic Mechanisms,renal · kidney · hemodialysis,renal; kidney; hemodialysis; transplant; dialysis; esrd; patients; ckd; hd; recipients,"['renal', 'kidney', 'hemodialysis', 'transplant', 'dialysis', 'esrd', 'patients', 'ckd', 'hd', 'recipients']"
56,145,Basic Mechanisms,gerbils · mongolian · gerbil,gerbils; mongolian; gerbil; animals; weeks; infected; gastric; pyloriinfected; inoculation; celecoxib,"['gerbils', 'mongolian', 'gerbil', 'animals', 'weeks', 'infected', 'gastric', 'pyloriinfected', 'inoculation', 'celecoxib']"
57,156,Basic Mechanisms,ibd · ibs · colitis,ibd; uc; ibs; colitis; bowel; cd; disease; inflammatory; crohns; ulcerative,"['ibd', 'uc', 'ibs', 'colitis', 'bowel', 'cd', 'disease', 'inflammatory', 'crohns', 'ulcerative']"
58,230,Basic Mechanisms,dupa · virulence · strains,dupa; virulence; strains; genes; genotypes; vaca; hopq; caga; gene; from,"['dupa', 'virulence', 'strains', 'genes', 'genotypes', 'vaca', 'hopq', 'caga', 'gene', 'from']"
59,146,Basic Mechanisms,mucin · muc1 · mucins,mucin; muc1; mucins; muc5ac; mucus; muc6; expression; gastric; tff2; muc2,"['mucin', 'muc1', 'mucins', 'muc5ac', 'mucus', 'muc6', 'expression', 'gastric', 'tff2', 'muc2']"
60,164,Basic Mechanisms,lactobacillus · plantarum · probiotic,lactobacillus; plantarum; probiotic; lactobacilli; strains; lab; activity; strain; lactic; acidophilus,"['lactobacillus', 'plantarum', 'probiotic', 'lactobacilli', 'strains', 'lab', 'activity', 'strain', 'lactic', 'acidophilus']"
61,168,Basic Mechanisms,vaca · toxin · vacuolating,vaca; toxin; vacuolating; cytotoxin; vacuolation; cells; mitochondrial; p55; membrane; mitochondria,"['vaca', 'toxin', 'vacuolating', 'cytotoxin', 'vacuolation', 'cells', 'mitochondrial', 'p55', 'membrane', 'mitochondria']"
62,129,Basic Mechanisms,surgery · bariatric · preoperative,surgery; bariatric; preoperative; bypass; egd; rouxeny; findings; mu; surgical; patients,"['surgery', 'bariatric', 'preoperative', 'bypass', 'egd', 'rouxeny', 'findings', 'mu', 'surgical', 'patients']"
63,141,Epidemiology & Public Health,colorectal · crc · adenoma,colorectal; crc; adenoma; polyps; adenomas; risk; colon; ci; colonoscopy; association,"['colorectal', 'crc', 'adenoma', 'polyps', 'adenomas', 'risk', 'colon', 'ci', 'colonoscopy', 'association']"
64,126,Basic Mechanisms,laryngeal · nasal · tonsillitis,laryngeal; nasal; tonsillitis; adenoid; tonsillar; tissue; hp; tonsils; polyps; reflux,"['laryngeal', 'nasal', 'tonsillitis', 'adenoid', 'tonsillar', 'tissue', 'hp', 'tonsils', 'polyps', 'reflux']"
65,125,Basic Mechanisms,probiotics · probiotic · diarrhea,probiotics; probiotic; diarrhea; bowel; prevention; antibioticassociated; gastrointestinal; health; microbiota; lactobacillus,"['probiotics', 'probiotic', 'diarrhea', 'bowel', 'prevention', 'antibioticassociated', 'gastrointestinal', 'health', 'microbiota', 'lactobacillus']"
66,125,Diagnostics & AI,water · drinking · samples,water; drinking; samples; wastewater; transmission; river; viable; environmental; pcr; contamination,"['water', 'drinking', 'samples', 'wastewater', 'transmission', 'river', 'viable', 'environmental', 'pcr', 'contamination']"
67,112,Basic Mechanisms,proteinprotein · prediction · network,proteinprotein; prediction; network; ppis; interactions; networks; protein; method; datasets; proposed,"['proteinprotein', 'prediction', 'network', 'ppis', 'interactions', 'networks', 'protein', 'method', 'datasets', 'proposed']"
68,313,Basic Mechanisms,host · virulence · bacterial,host; virulence; bacterial; factors; pathogenesis; human; colonization; pylori; proteins; that,"['host', 'virulence', 'bacterial', 'factors', 'pathogenesis', 'human', 'colonization', 'pylori', 'proteins', 'that']"
69,192,Basic Mechanisms,duodenal · ulcer · perforation,duodenal; ulcer; perforation; perforated; surgical; peptic; ulcers; laparoscopic; surgery; case,"['duodenal', 'ulcer', 'perforation', 'perforated', 'surgical', 'peptic', 'ulcers', 'laparoscopic', 'surgery', 'case']"
70,160,Clinical Therapy,levofloxacin · therapy · triple,levofloxacin; mg; therapy; triple; levofloxacinbased; eradication; regimen; bid; daily; amoxicillin,"['levofloxacin', 'mg', 'therapy', 'triple', 'levofloxacinbased', 'eradication', 'regimen', 'bid', 'daily', 'amoxicillin']"
71,131,Diagnostics & AI,detection · dna · lamp,detection; dna; lamp; electrochemical; sensor; amplification; biosensor; limit; nucleic; sensitive,"['detection', 'dna', 'lamp', 'electrochemical', 'sensor', 'amplification', 'biosensor', 'limit', 'nucleic', 'sensitive']"
72,112,Extra-gastric Diseases,dementia · alzheimers · cognitive,ad; dementia; alzheimers; cognitive; brain; neurodegenerative; disease; tau; between; impairment,"['ad', 'dementia', 'alzheimers', 'cognitive', 'brain', 'neurodegenerative', 'disease', 'tau', 'between', 'impairment']"
73,111,Oncology & Pathology,microbiota · microbial · microbiome,microbiota; microbial; microbiome; gc; gastric; cancer; composition; bacteria; carcinogenesis; diversity,"['microbiota', 'microbial', 'microbiome', 'gc', 'gastric', 'cancer', 'composition', 'bacteria', 'carcinogenesis', 'diversity']"
74,110,Clinical Therapy,biofilm · biofilms · formation,biofilm; biofilms; formation; planktonic; ability; biofilmforming; that; resistance; microscopy; strains,"['biofilm', 'biofilms', 'formation', 'planktonic', 'ability', 'biofilmforming', 'that', 'resistance', 'microscopy', 'strains']"
75,131,Basic Mechanisms,celiac · disease · intraepithelial,cd; celiac; disease; intraepithelial; duodenal; lymphocytic; lymphocytosis; coeliac; villous; patients,"['cd', 'celiac', 'disease', 'intraepithelial', 'duodenal', 'lymphocytic', 'lymphocytosis', 'coeliac', 'villous', 'patients']"
76,130,Basic Mechanisms,pneumoniae · atherosclerosis · chlamydia,pneumoniae; atherosclerosis; chlamydia; coronary; atherosclerotic; cad; infectious; cytomegalovirus; artery; cmv,"['pneumoniae', 'atherosclerosis', 'chlamydia', 'coronary', 'atherosclerotic', 'cad', 'infectious', 'cytomegalovirus', 'artery', 'cmv']"
77,103,Basic Mechanisms,cyp2c19 · metabolizers · genotype,cyp2c19; metabolizers; genotype; polymorphism; metabolizer; pm; eradication; rabeprazole; extensive; mdr1,"['cyp2c19', 'metabolizers', 'genotype', 'polymorphism', 'metabolizer', 'pm', 'eradication', 'rabeprazole', 'extensive', 'mdr1']"
78,103,Epidemiology & Public Health,asthma · allergic · allergy,asthma; allergic; allergy; atopy; ige; atopic; children; airway; childhood; inverse,"['asthma', 'allergic', 'allergy', 'atopy', 'ige', 'atopic', 'children', 'airway', 'childhood', 'inverse']"
79,151,Oncology & Pathology,aig · autoimmune · gastritis,aig; autoimmune; gastritis; atrophic; parietal; atrophy; aag; neuroendocrine; patients; anemia,"['aig', 'autoimmune', 'gastritis', 'atrophic', 'parietal', 'atrophy', 'aag', 'neuroendocrine', 'patients', 'anemia']"
80,142,Oncology & Pathology,atrophic · cag · gastritis,atrophic; cag; gastritis; chronic; ag; gastropanel; atrophy; pepsinogen; diagnosis; gastric,"['atrophic', 'cag', 'gastritis', 'chronic', 'ag', 'gastropanel', 'atrophy', 'pepsinogen', 'diagnosis', 'gastric']"
81,103,Oncology & Pathology,ebv · epsteinbarr · virus,ebv; epsteinbarr; virus; ebvagc; coinfection; gc; ebvassociated; gastric; cancer; ebvpositive,"['ebv', 'epsteinbarr', 'virus', 'ebvagc', 'coinfection', 'gc', 'ebvassociated', 'gastric', 'cancer', 'ebvpositive']"
82,125,Basic Mechanisms,pregnancy · women · pregnant,pregnancy; women; pregnant; hyperemesis; gravidarum; hg; preeclampsia; maternal; sperm; gestational,"['pregnancy', 'women', 'pregnant', 'hyperemesis', 'gravidarum', 'hg', 'preeclampsia', 'maternal', 'sperm', 'gestational']"
83,97,Extra-gastric Diseases,nafld · liver · fatty,nafld; liver; fatty; nonalcoholic; masld; metabolic; steatosis; disease; infection; fibrosis,"['nafld', 'liver', 'fatty', 'nonalcoholic', 'masld', 'metabolic', 'steatosis', 'disease', 'infection', 'fibrosis']"
84,98,Epidemiology & Public Health,bleeding · ugib · upper,bleeding; ugib; upper; nonvariceal; gastrointestinal; gib; mortality; management; rebleeding; acute,"['bleeding', 'ugib', 'upper', 'nonvariceal', 'gastrointestinal', 'gib', 'mortality', 'management', 'rebleeding', 'acute']"
85,99,Oncology & Pathology,cancers · virus · attributable,cancers; virus; attributable; agents; cancer; hepatitis; infectious; see; infections; hpv,"['cancers', 'virus', 'attributable', 'agents', 'cancer', 'hepatitis', 'infectious', 'see', 'infections', 'hpv']"
86,95,Basic Mechanisms,ghrelin · leptin · plasma,ghrelin; leptin; plasma; levels; obestatin; serum; pgml; circulating; body; acylated,"['ghrelin', 'leptin', 'plasma', 'levels', 'obestatin', 'serum', 'pgml', 'circulating', 'body', 'acylated']"
87,91,Oncology & Pathology,pancreatic · pancreatitis · cancer,pancreatic; pancreatitis; cancer; risk; pc; aip; association; studies; autoimmune; pancreas,"['pancreatic', 'pancreatitis', 'cancer', 'risk', 'pc', 'aip', 'association', 'studies', 'autoimmune', 'pancreas']"
88,171,Basic Mechanisms,t4ss · secretion · cag,t4ss; secretion; cag; iv; cagl; type; caga; translocation; system; host,"['t4ss', 'secretion', 'cag', 'iv', 'cagl', 'type', 'caga', 'translocation', 'system', 'host']"
89,117,Oncology & Pathology,methylation · promoter · dna,methylation; promoter; dna; cpg; runx3; aberrant; gc; cancer; genes; cihm,"['methylation', 'promoter', 'dna', 'cpg', 'runx3', 'aberrant', 'gc', 'cancer', 'genes', 'cihm']"
90,111,Diagnostics & AI,images · learning · accuracy,ai; images; learning; accuracy; intelligence; model; artificial; performance; models; machine,"['ai', 'images', 'learning', 'accuracy', 'intelligence', 'model', 'artificial', 'performance', 'models', 'machine']"
91,127,Basic Mechanisms,acid · secretion · gastrin,acid; secretion; gastrin; parietal; histamine; gastric; ecl; the; cell; mucosal,"['acid', 'secretion', 'gastrin', 'parietal', 'histamine', 'gastric', 'ecl', 'the', 'cell', 'mucosal']"
92,79,Extra-gastric Diseases,urticaria · csu · chronic,urticaria; cu; csu; chronic; ciu; spontaneous; patients; skin; hp; asst,"['urticaria', 'cu', 'csu', 'chronic', 'ciu', 'spontaneous', 'patients', 'skin', 'hp', 'asst']"
93,159,Clinical Therapy,clarithromycin · therapy · triple,clarithromycin; therapy; triple; eradication; amoxicillin; mg; rates; resistance; metronidazole; regimen,"['clarithromycin', 'therapy', 'triple', 'eradication', 'amoxicillin', 'mg', 'rates', 'resistance', 'metronidazole', 'regimen']"
94,102,Diagnostics & AI,rut · test · rapid,rut; test; rapid; urease; sensitivity; positive; histology; specificity; accuracy; biopsy,"['rut', 'test', 'rapid', 'urease', 'sensitivity', 'positive', 'histology', 'specificity', 'accuracy', 'biopsy']"
95,124,Extra-gastric Diseases,itp · platelet · purpura,itp; platelet; purpura; thrombocytopenic; idiopathic; count; counts; eradication; citp; response,"['itp', 'platelet', 'purpura', 'thrombocytopenic', 'idiopathic', 'count', 'counts', 'eradication', 'citp', 'response']"
96,135,Basic Mechanisms,esd · egc · endoscopic,esd; egc; endoscopic; submucosal; dissection; resection; metachronous; early; lesion; recurrence,"['esd', 'egc', 'endoscopic', 'submucosal', 'dissection', 'resection', 'metachronous', 'early', 'lesion', 'recurrence']"
97,120,Clinical Therapy,ppis · ppi · pump,ppis; ppi; pump; proton; inhibitors; use; acid; indications; longterm; pcabs,"['ppis', 'ppi', 'pump', 'proton', 'inhibitors', 'use', 'acid', 'indications', 'longterm', 'pcabs']"
98,108,Basic Mechanisms,vitamin · b12 · deficiency,vitamin; b12; deficiency; cobalamin; folate; vitamins; homocysteine; supplementation; serum; levels,"['vitamin', 'b12', 'deficiency', 'cobalamin', 'folate', 'vitamins', 'homocysteine', 'supplementation', 'serum', 'levels']"
99,110,Basic Mechanisms,flagellar · motility · flagella,flagellar; motility; flagella; motor; flagellum; mutant; assembly; proteins; export; flha,"['flagellar', 'motility', 'flagella', 'motor', 'flagellum', 'mutant', 'assembly', 'proteins', 'export', 'flha']"
100,87,Basic Mechanisms,parkinsons · levodopa · motor,pd; parkinsons; levodopa; motor; parkinsonism; disease; pdl1; fluctuations; ip; ldopa,"['pd', 'parkinsons', 'levodopa', 'motor', 'parkinsonism', 'disease', 'pdl1', 'fluctuations', 'ip', 'ldopa']"
101,132,Basic Mechanisms,bmi · obesity · cholesterol,bmi; obesity; cholesterol; body; mass; metabolic; lipoprotein; lipid; index; hdlc,"['bmi', 'obesity', 'cholesterol', 'body', 'mass', 'metabolic', 'lipoprotein', 'lipid', 'index', 'hdlc']"
102,89,Basic Mechanisms,omvs · vesicles · outer,omvs; vesicles; outer; membrane; evs; omv; cells; pyloriderived; extracellular; host,"['omvs', 'vesicles', 'outer', 'membrane', 'evs', 'omv', 'cells', 'pyloriderived', 'extracellular', 'host']"
103,107,Basic Mechanisms,methylation · cpg · hypermethylation,methylation; cpg; hypermethylation; dna; epigenetic; promoter; genes; methylated; aberrant; gastric,"['methylation', 'cpg', 'hypermethylation', 'dna', 'epigenetic', 'promoter', 'genes', 'methylated', 'aberrant', 'gastric']"
104,83,Oncology & Pathology,mir · mirnas · mirna · expression · cancer,mir; mirnas; gc; mirna; expression; cancer; micrornas; gastric; lncrna; biomarkers,"['mir', 'mirnas', 'gc', 'mirna', 'expression', 'cancer', 'micrornas', 'gastric', 'lncrna', 'biomarkers']"
